permittivity,f_max,f_min,feed_depth,feed_gap_width,feed_width,substrate_height,patch_length,copper_height,patch_width,resonance,s11,realized_gain,l3vertical,l3horizontal
3.6,105,55,0.225,0.18,0.14256,0.0639,0.9,0.035,0.81,91.8,-9.0411,2.5721,2.5721,-2.915
4.3,105,55,0.225,0.18,0.12579,0.0639,0.9,0.035,0.81,84.2,-9.5764,2.129,2.129,-3.0608
5.0,105,55,0.225,0.18,0.11110999999999999,0.0639,0.9,0.035,0.81,78.15,-10.197000000000001,1.8032,1.8032,-3.1617
3.6,105,55,0.1125,0.18,0.14256,0.0639,0.9,0.035,0.81,88.05,-7.3478,1.7727,1.7727,-3.6668
4.3,105,55,0.1125,0.18,0.12579,0.0639,0.9,0.035,0.81,81.0,-7.9258,1.4515,1.4515,-3.7276
5.0,105,55,0.1125,0.18,0.11110999999999999,0.0639,0.9,0.035,0.81,75.35,-8.5975,1.2141,1.2141,-3.747
3.6,105,55,0.225,0.06,0.14256,0.0639,0.9,0.035,0.81,87.0,-8.2322,1.9471,1.9471,-3.4422
4.3,105,55,0.225,0.06,0.12579,0.0639,0.9,0.035,0.81,79.85,-8.777000000000001,1.5603,1.5603,-3.5528
5.0,105,55,0.225,0.06,0.11110999999999999,0.0639,0.9,0.035,0.81,74.15,-9.4157,1.2736,1.2736,-3.6289
3.6,105,55,0.1125,0.06,0.14256,0.0639,0.9,0.035,0.81,85.45,-7.6713,1.6022,1.6022,-3.7828
4.3,105,55,0.1125,0.06,0.12579,0.0639,0.9,0.035,0.81,78.6,-8.2786,1.2787,1.2787,-3.8422
5.0,105,55,0.1125,0.06,0.11110999999999999,0.0639,0.9,0.035,0.81,73.1,-9.0075,1.0398,1.0398,-3.8715
3.6,105,55,0.225,0.18,0.1584,0.071,0.9,0.035,0.81,91.75,-8.508,2.7498,2.7498,-2.7275
4.3,105,55,0.225,0.18,0.13976,0.071,0.9,0.035,0.81,84.15,-9.0041,2.3286,2.3286,-2.8538
5.0,105,55,0.225,0.18,0.12345999999999999,0.071,0.9,0.035,0.81,78.1,-9.5843,2.0264,2.0264,-2.9309
