copper_height,f_max,f_min,feed_depth,feed_gap_width,feed_width,l3horizontal,l3vertical,patch_length,patch_width,permittivity,realized_gain,resonance,s11,substrate_height,bandwidth
0.035,3.0,1.0,8.0,6.4,3.06,-3.5989,1.8291,32.0,28.8,3.6,1.8291,2.56,-16.335,1.3716,0.085134
0.035,3.0,1.0,8.0,6.4,2.7,-3.8055,1.3193,32.0,28.8,4.3,1.3193,2.346,-17.487000000000002,1.3716,0.07731
0.035,3.0,1.0,8.0,6.4,2.385,-3.9808,0.9229999999999999,32.0,28.8,5.0,0.9229999999999999,2.178,-19.855,1.3716,0.07128999999999999
0.035,3.0,1.0,4.0,6.4,2.7,-4.3106,0.78542,32.0,28.8,4.3,0.78542,2.274,-10.164,1.3716,0.026907999999999998
0.035,3.0,1.0,4.0,6.4,2.385,-4.4265,0.45105,32.0,28.8,5.0,0.45105,2.114,-11.300999999999998,1.3716,0.044893999999999996
0.035,3.0,1.0,8.0,2.1333,3.06,-3.8847,1.4136,32.0,28.8,3.6,1.4136,2.438,-12.242,1.3716,0.068741
0.035,3.0,1.0,8.0,2.1333,2.7,-4.094,0.91948,32.0,28.8,4.3,0.91948,2.234,-12.921,1.3716,0.065708
0.035,3.0,1.0,8.0,2.1333,2.385,-4.2093,0.59642,32.0,28.8,5.0,0.59642,2.074,-14.227,1.3716,0.06417300000000001
0.035,3.0,1.0,4.0,2.1333,2.7,-4.4105,0.60512,32.0,28.8,4.3,0.60512,2.202,-10.468,1.3716,0.035485
0.035,3.0,1.0,4.0,2.1333,2.385,-4.5292,0.27557,32.0,28.8,5.0,0.27557,2.046,-11.58,1.3716,0.046981999999999996
0.035,3.0,1.0,8.0,6.4,3.4,-3.3362,2.0857,32.0,28.8,3.6,2.0857,2.5580000000000003,-14.505,1.524,0.08551900000000001
0.035,3.0,1.0,8.0,6.4,3.0,-3.52,1.5988,32.0,28.8,4.3,1.5988,2.346,-15.418,1.524,0.078322
0.035,3.0,1.0,8.0,6.4,2.65,-3.6533,1.244,32.0,28.8,5.0,1.244,2.176,-17.167,1.524,0.07291900000000001
0.035,3.0,1.0,4.0,6.4,2.65,-4.1977,0.67297,32.0,28.8,5.0,0.67297,2.11,-10.331,1.524,0.033602
0.035,3.0,1.0,8.0,2.1333,3.4,-3.6786,1.615,32.0,28.8,3.6,1.615,2.436,-11.159,1.524,0.059084000000000005
0.035,3.0,1.0,8.0,2.1333,3.0,-3.8586,1.1494,32.0,28.8,4.3,1.1494,2.2319999999999998,-11.732000000000001,1.524,0.06051599999999999
0.035,3.0,1.0,8.0,2.1333,2.65,-3.98,0.81825,32.0,28.8,5.0,0.81825,2.072,-12.806,1.524,0.062158000000000005
0.035,3.0,1.0,4.0,2.1333,2.65,-4.3323,0.46488,32.0,28.8,5.0,0.46488,2.042,-10.61,1.524,0.036762
0.035,3.0,1.0,8.0,6.4,3.74,-3.0949,2.3209,32.0,28.8,3.6,2.3209,2.556,-13.325,1.6764,0.084159
0.035,3.0,1.0,8.0,6.4,3.3,-3.2681,1.8437,32.0,28.8,4.3,1.8437,2.344,-14.152000000000001,1.6764,0.07779
0.035,3.0,1.0,8.0,6.4,2.915,-3.3786,1.5116,32.0,28.8,5.0,1.5116,2.174,-15.498,1.6764,0.073098
0.035,3.0,1.0,8.0,2.1333,3.74,-3.5175,1.7706,32.0,28.8,3.6,1.7706,2.432,-10.331,1.6764,0.044866
0.035,3.0,1.0,8.0,2.1333,3.3,-3.6674,1.334,32.0,28.8,4.3,1.334,2.228,-10.829,1.6764,0.052410000000000005
0.035,3.0,1.0,8.0,2.1333,2.915,-3.8132,0.9766600000000001,32.0,28.8,5.0,0.9766600000000001,2.068,-11.693,1.6764,0.057384000000000004
0.035,3.0,1.0,8.0,6.4,3.06,-3.5219,2.2244,32.0,32.0,3.6,2.2244,2.522,-29.605999999999998,1.3716,0.081703
0.035,3.0,1.0,8.0,6.4,2.7,-3.8348,1.5845,32.0,32.0,4.3,1.5845,2.312,-34.243,1.3716,0.074475
0.035,3.0,1.0,8.0,6.4,2.385,-4.0371,1.1344,32.0,32.0,5.0,1.1344,2.146,-40.387,1.3716,0.0653
0.035,3.0,1.0,4.0,6.4,3.06,-4.0163,1.7328,32.0,32.0,3.6,1.7328,2.46,-11.288,1.3716,0.054934000000000004
0.035,3.0,1.0,4.0,6.4,2.7,-4.1499,1.2590000000000001,32.0,32.0,4.3,1.2590000000000001,2.258,-12.209000000000001,1.3716,0.058597
0.035,3.0,1.0,4.0,6.4,2.385,-4.25,0.90402,32.0,32.0,5.0,0.90402,2.0980000000000003,-13.602,1.3716,0.059596
0.035,3.0,1.0,8.0,2.1333,3.06,-3.7234,1.9297,32.0,32.0,3.6,1.9297,2.424,-15.001,1.3716,0.07818
0.035,3.0,1.0,8.0,2.1333,2.7,-3.9643,1.3573,32.0,32.0,4.3,1.3573,2.222,-15.722000000000001,1.3716,0.072019
0.035,3.0,1.0,8.0,2.1333,2.385,-4.2411,0.84251,32.0,32.0,5.0,0.84251,2.062,-17.352,1.3716,0.067452
0.035,3.0,1.0,4.0,2.1333,3.06,-4.1514,1.5149,32.0,32.0,3.6,1.5149,2.392,-11.112,1.3716,0.051546
0.035,3.0,1.0,4.0,2.1333,2.7,-4.2911,1.0366,32.0,32.0,4.3,1.0366,2.194,-12.027999999999999,1.3716,0.055919
0.035,3.0,1.0,4.0,2.1333,2.385,-4.4821,0.60263,32.0,32.0,5.0,0.60263,2.0380000000000003,-13.304,1.3716,0.055102
0.035,3.0,1.0,8.0,6.4,3.4,-3.2437,2.4922,32.0,32.0,3.6,2.4922,2.5180000000000002,-23.264,1.524,0.08710599999999999
0.035,3.0,1.0,8.0,6.4,3.0,-3.4948,1.9174,32.0,32.0,4.3,1.9174,2.31,-25.065,1.524,0.078561
0.035,3.0,1.0,8.0,6.4,2.65,-3.6963,1.4678,32.0,32.0,5.0,1.4678,2.144,-30.423000000000002,1.524,0.069637
0.035,3.0,1.0,4.0,6.4,3.4,-3.8119,1.9294,32.0,32.0,3.6,1.9294,2.456,-10.36,1.524,0.041262
0.035,3.0,1.0,4.0,6.4,3.0,-3.9125,1.4914,32.0,32.0,4.3,1.4914,2.252,-11.135,1.524,0.051973
