permittivity,f_max,f_min,feed_depth,feed_gap_width,feed_width,substrate_height,patch_length,copper_height,patch_width,resonance,s11,realized_gain,l3vertical,l3horizontal
3.6,3,1,8.0,6.4,3.06,1.3716,32,0.035,28.8,2.56,-16.335,1.8291,1.8291,-3.5989
4.3,3,1,8.0,6.4,2.7,1.3716,32,0.035,28.8,2.346,-17.487000000000002,1.3193,1.3193,-3.8055
5.0,3,1,8.0,6.4,2.385,1.3716,32,0.035,28.8,2.178,-19.855,0.9229999999999999,0.9229999999999999,-3.9808
3.6,3,1,4.0,6.4,3.06,1.3716,32,0.035,28.8,2.478,-9.3706,1.1656,1.1656,-4.2369
4.3,3,1,4.0,6.4,2.7,1.3716,32,0.035,28.8,2.274,-10.164,0.78542,0.78542,-4.3106
5.0,3,1,4.0,6.4,2.385,1.3716,32,0.035,28.8,2.114,-11.300999999999998,0.45105,0.45105,-4.4265
3.6,3,1,8.0,2.1333,3.06,1.3716,32,0.035,28.8,2.438,-12.242,1.4136,1.4136,-3.8847
4.3,3,1,8.0,2.1333,2.7,1.3716,32,0.035,28.8,2.234,-12.921,0.91948,0.91948,-4.093999999999999
5.0,3,1,8.0,2.1333,2.385,1.3716,32,0.035,28.8,2.074,-14.227,0.59642,0.59642,-4.2093
3.6,3,1,4.0,2.1333,3.06,1.3716,32,0.035,28.8,2.4,-9.6303,1.0057,1.0057,-4.2994
4.3,3,1,4.0,2.1333,2.7,1.3716,32,0.035,28.8,2.202,-10.468,0.60512,0.60512,-4.4105
5.0,3,1,4.0,2.1333,2.385,1.3716,32,0.035,28.8,2.046,-11.58,0.27557,0.27557,-4.5292
3.6,3,1,8.0,6.4,3.4,1.524,32,0.035,28.8,2.5580000000000003,-14.505,2.0857,2.0857,-3.3362
4.3,3,1,8.0,6.4,3.0,1.524,32,0.035,28.8,2.346,-15.418,1.5988,1.5988,-3.52
5.0,3,1,8.0,6.4,2.65,1.524,32,0.035,28.8,2.176,-17.167,1.244,1.244,-3.6533
3.6,3,1,4.0,6.4,3.4,1.524,32,0.035,28.8,2.474,-8.6516,1.3375,1.3375,-4.0586
4.3,3,1,4.0,6.4,3.0,1.524,32,0.035,28.8,2.27,-9.3388,0.95706,0.95706,-4.1332
5.0,3,1,4.0,6.4,2.65,1.524,32,0.035,28.8,2.11,-10.331,0.67297,0.67297,-4.1977
3.6,3,1,8.0,2.1333,3.4,1.524,32,0.035,28.8,2.436,-11.159,1.615,1.615,-3.6786
4.3,3,1,8.0,2.1333,3.0,1.524,32,0.035,28.8,2.2319999999999998,-11.732000000000001,1.1494,1.1494,-3.8586
