permittivity,f_max,f_min,feed_depth,feed_gap_width,feed_width,substrate_height,patch_length,copper_height,patch_width,resonance,s11,realized_gain,l3vertical,l3horizontal
3.6,65,35,0.4125,0.33,0.14256,0.0639,1.65,0.035,1.485,50.24,-15.453,1.3031,1.3031,-4.1819
4.3,65,35,0.4125,0.33,0.12579,0.0639,1.65,0.035,1.485,46.1,-16.776,0.79627,0.79627,-4.3952
5.0,65,35,0.4125,0.33,0.11110999999999999,0.0639,1.65,0.035,1.485,42.8,-18.378,0.30358,0.30358,-4.6665
3.6,65,35,0.20625,0.33,0.14256,0.0639,1.65,0.035,1.485,48.56,-11.597000000000001,0.8016300000000001,0.8016300000000001,-4.678999999999999
4.3,65,35,0.20625,0.33,0.12579,0.0639,1.65,0.035,1.485,44.66,-12.839,0.36454000000000003,0.36454000000000003,-4.8285
5.0,65,35,0.20625,0.33,0.11110999999999999,0.0639,1.65,0.035,1.485,41.51,-14.554,0.017158,0.017158,-4.9477
3.6,65,35,0.4125,0.11,0.14256,0.0639,1.65,0.035,1.485,47.69,-13.128,0.78377,0.78377,-4.6064
4.3,65,35,0.4125,0.11,0.12579,0.0639,1.65,0.035,1.485,43.76,-14.389000000000001,0.27454,0.27454,-4.8321
5.0,65,35,0.4125,0.11,0.11110999999999999,0.0639,1.65,0.035,1.485,40.64,-16.132,-0.17961,-0.17961,-5.0736
3.6,65,35,0.20625,0.11,0.14256,0.0639,1.65,0.035,1.485,47.06,-12.617,0.5825100000000001,0.5825100000000001,-4.8236
4.3,65,35,0.20625,0.11,0.12579,0.0639,1.65,0.035,1.485,43.25,-14.097000000000001,0.1012,0.1012,-5.0199
5.0,65,35,0.20625,0.11,0.11110999999999999,0.0639,1.65,0.035,1.485,40.22,-16.274,-0.32466999999999996,-0.32466999999999996,-5.229
3.6,65,35,0.4125,0.33,0.1584,0.071,1.65,0.035,1.485,50.24,-13.949000000000002,1.6183,1.6183,-3.8669
4.3,65,35,0.4125,0.33,0.13976,0.071,1.65,0.035,1.485,46.1,-14.913,1.1322,1.1322,-4.059
5.0,65,35,0.4125,0.33,0.12345999999999999,0.071,1.65,0.035,1.485,42.8,-16.095,0.67961,0.67961,-4.2886
3.6,65,35,0.20625,0.33,0.1584,0.071,1.65,0.035,1.485,48.47,-10.38,1.0379,1.0379,-4.4364
4.3,65,35,0.20625,0.33,0.13976,0.071,1.65,0.035,1.485,44.57,-11.368,0.63222,0.63222,-4.5571
5.0,65,35,0.20625,0.33,0.12345999999999999,0.071,1.65,0.035,1.485,41.45,-12.651,0.2972,0.2972,-4.6636
3.6,65,35,0.4125,0.11,0.1584,0.071,1.65,0.035,1.485,47.66,-11.839,1.0926,1.0926,-4.2936
4.3,65,35,0.4125,0.11,0.13976,0.071,1.65,0.035,1.485,43.73,-12.77,0.61147,0.61147,-4.4934
5.0,65,35,0.4125,0.11,0.12345999999999999,0.071,1.65,0.035,1.485,40.61,-14.013,0.20405,0.20405,-4.6867
