permittivity,f_max,f_min,feed_depth,feed_gap_width,feed_width,substrate_height,patch_length,copper_height,patch_width,resonance,s11,realized_gain,l3vertical,l3horizontal
3.6,3,1,8.0,6.4,3.06,1.3716,32.0,0.035,28.8,2.56,-16.335,1.8291,1.8291,-3.5989
4.3,3,1,8.0,6.4,2.7,1.3716,32.0,0.035,28.8,2.346,-17.487000000000002,1.3193,1.3193,-3.8055
5.0,3,1,8.0,6.4,2.385,1.3716,32.0,0.035,28.8,2.178,-19.855,0.923,0.923,-3.9808
3.6,3,1,4.0,6.4,3.06,1.3716,32.0,0.035,28.8,2.478,-9.3706,1.1656,1.1656,-4.2369
4.3,3,1,4.0,6.4,2.7,1.3716,32.0,0.035,28.8,2.274,-10.164,0.78542,0.78542,-4.3106
5.0,3,1,4.0,6.4,2.385,1.3716,32.0,0.035,28.8,2.114,-11.300999999999998,0.45105,0.45105,-4.4265
3.6,3,1,8.0,2.1333,3.06,1.3716,32.0,0.035,28.8,2.438,-12.242,1.4136,1.4136,-3.8847
4.3,3,1,8.0,2.1333,2.7,1.3716,32.0,0.035,28.8,2.234,-12.921,0.91948,0.91948,-4.0939999999999985
5.0,3,1,8.0,2.1333,2.385,1.3716,32.0,0.035,28.8,2.074,-14.227,0.59642,0.59642,-4.2093
3.6,3,1,4.0,2.1333,3.06,1.3716,32.0,0.035,28.8,2.4,-9.6303,1.0057,1.0057,-4.2994
4.3,3,1,4.0,2.1333,2.7,1.3716,32.0,0.035,28.8,2.202,-10.468,0.60512,0.60512,-4.4105
5.0,3,1,4.0,2.1333,2.385,1.3716,32.0,0.035,28.8,2.046,-11.58,0.27557,0.27557,-4.5292
3.6,3,1,8.0,6.4,3.4,1.524,32.0,0.035,28.8,2.5580000000000003,-14.505,2.0857,2.0857,-3.3362
4.3,3,1,8.0,6.4,3.0,1.524,32.0,0.035,28.8,2.346,-15.418,1.5988,1.5988,-3.52
5.0,3,1,8.0,6.4,2.65,1.524,32.0,0.035,28.8,2.176,-17.167,1.244,1.244,-3.6533
3.6,3,1,4.0,6.4,3.4,1.524,32.0,0.035,28.8,2.474,-8.6516,1.3375,1.3375,-4.0586
4.3,3,1,4.0,6.4,3.0,1.524,32.0,0.035,28.8,2.27,-9.3388,0.95706,0.95706,-4.1332
5.0,3,1,4.0,6.4,2.65,1.524,32.0,0.035,28.8,2.11,-10.331,0.67297,0.67297,-4.1977
3.6,3,1,8.0,2.1333,3.4,1.524,32.0,0.035,28.8,2.436,-11.159,1.615,1.615,-3.6786
4.3,3,1,8.0,2.1333,3.0,1.524,32.0,0.035,28.8,2.232,-11.732,1.1494,1.1494,-3.8586
5.0,3,1,8.0,2.1333,2.65,1.524,32.0,0.035,28.8,2.072,-12.806,0.81825,0.81825,-3.98
3.6,3,1,4.0,2.1333,3.4,1.524,32.0,0.035,28.8,2.394,-8.904,1.1335,1.1335,-4.1663
4.3,3,1,4.0,2.1333,3.0,1.524,32.0,0.035,28.8,2.196,-9.6339,0.7682,0.7682,-4.2408
5.0,3,1,4.0,2.1333,2.65,1.524,32.0,0.035,28.8,2.042,-10.61,0.46488,0.46488,-4.3323
3.6,3,1,8.0,6.4,3.74,1.6764,32.0,0.035,28.8,2.556,-13.325,2.3209,2.3209,-3.0949
4.3,3,1,8.0,6.4,3.3,1.6764,32.0,0.035,28.8,2.344,-14.152,1.8437,1.8437,-3.2681
5.0,3,1,8.0,6.4,2.915,1.6764,32.0,0.035,28.8,2.174,-15.498,1.5116,1.5116,-3.3786
3.6,3,1,4.0,6.4,3.74,1.6764,32.0,0.035,28.8,2.47,-8.1038,1.4764,1.4764,-3.9096
4.3,3,1,4.0,6.4,3.3,1.6764,32.0,0.035,28.8,2.266,-8.7173,1.1208,1.1208,-3.9635
5.0,3,1,4.0,6.4,2.915,1.6764,32.0,0.035,28.8,2.106,-9.5587,0.87095,0.87095,-3.9931
3.6,3,1,8.0,2.1333,3.74,1.6764,32.0,0.035,28.8,2.432,-10.331,1.7706,1.7706,-3.5175
4.3,3,1,8.0,2.1333,3.3,1.6764,32.0,0.035,28.8,2.228,-10.829,1.334,1.334,-3.6674
5.0,3,1,8.0,2.1333,2.915,1.6764,32.0,0.035,28.8,2.068,-11.693,0.97666,0.97666,-3.8132
3.6,3,1,4.0,2.1333,3.74,1.6764,32.0,0.035,28.8,2.388,-8.3555,1.2452,1.2452,-4.0459
4.3,3,1,4.0,2.1333,3.3,1.6764,32.0,0.035,28.8,2.19,-9.015,0.88834,0.88834,-4.1139
5.0,3,1,4.0,2.1333,2.915,1.6764,32.0,0.035,28.8,2.036,-9.8443,0.6076199999999999,0.6076199999999999,-4.1805
3.6,3,1,8.0,6.4,3.06,1.3716,32.0,0.035,32.0,2.522,-29.606,2.2244,2.2244,-3.5219
4.3,3,1,8.0,6.4,2.7,1.3716,32.0,0.035,32.0,2.312,-34.243,1.5845,1.5845,-3.8348
5.0,3,1,8.0,6.4,2.385,1.3716,32.0,0.035,32.0,2.146,-40.387,1.1344,1.1344,-4.0371
3.6,3,1,4.0,6.4,3.06,1.3716,32.0,0.035,32.0,2.46,-11.288,1.7328,1.7328,-4.0163
4.3,3,1,4.0,6.4,2.7,1.3716,32.0,0.035,32.0,2.258,-12.209,1.259,1.259,-4.1499
5.0,3,1,4.0,6.4,2.385,1.3716,32.0,0.035,32.0,2.0980000000000003,-13.602,0.90402,0.90402,-4.25
3.6,3,1,8.0,2.1333,3.06,1.3716,32.0,0.035,32.0,2.424,-15.001,1.9297,1.9297,-3.7234
4.3,3,1,8.0,2.1333,2.7,1.3716,32.0,0.035,32.0,2.222,-15.722,1.3573,1.3573,-3.9643
5.0,3,1,8.0,2.1333,2.385,1.3716,32.0,0.035,32.0,2.062,-17.352,0.84251,0.84251,-4.2411
3.6,3,1,4.0,2.1333,3.06,1.3716,32.0,0.035,32.0,2.392,-11.112,1.5149,1.5149,-4.1514
4.3,3,1,4.0,2.1333,2.7,1.3716,32.0,0.035,32.0,2.194,-12.028,1.0366,1.0366,-4.2911
5.0,3,1,4.0,2.1333,2.385,1.3716,32.0,0.035,32.0,2.0380000000000003,-13.304,0.60263,0.60263,-4.4821
3.6,3,1,8.0,6.4,3.4,1.524,32.0,0.035,32.0,2.518,-23.264,2.4922,2.4922,-3.2437
4.3,3,1,8.0,6.4,3.0,1.524,32.0,0.035,32.0,2.31,-25.065,1.9174,1.9174,-3.4948
5.0,3,1,8.0,6.4,2.65,1.524,32.0,0.035,32.0,2.144,-30.423,1.4678,1.4678,-3.6963
3.6,3,1,4.0,6.4,3.4,1.524,32.0,0.035,32.0,2.456,-10.36,1.9294,1.9294,-3.8119
4.3,3,1,4.0,6.4,3.0,1.524,32.0,0.035,32.0,2.252,-11.135,1.4914,1.4914,-3.9125
5.0,3,1,4.0,6.4,2.65,1.524,32.0,0.035,32.0,2.092,-12.304,1.0992,1.0992,-4.0481
3.6,3,1,8.0,2.1333,3.4,1.524,32.0,0.035,32.0,2.42,-13.539,2.1181,2.1181,-3.5291
4.3,3,1,8.0,2.1333,3.0,1.524,32.0,0.035,32.0,2.218,-14.1,1.5692,1.5692,-3.7476
5.0,3,1,8.0,2.1333,2.65,1.524,32.0,0.035,32.0,2.0580000000000003,-15.352,1.1172,1.1172,-3.9603
3.6,3,1,4.0,2.1333,3.4,1.524,32.0,0.035,32.0,2.386,-10.232,1.6796,1.6796,-3.9783
4.3,3,1,4.0,2.1333,3.0,1.524,32.0,0.035,32.0,2.188,-11.009,1.2157,1.2157,-4.1077
5.0,3,1,4.0,2.1333,2.65,1.524,32.0,0.035,32.0,2.0340000000000003,-12.091,0.83683,0.83683,-4.2432
3.6,3,1,8.0,6.4,3.74,1.6764,32.0,0.035,32.0,2.516,-20.318,2.7531,2.7531,-2.9723
4.3,3,1,8.0,6.4,3.3,1.6764,32.0,0.035,32.0,2.3080000000000003,-21.588,2.2195,2.2195,-3.1856
5.0,3,1,8.0,6.4,2.915,1.6764,32.0,0.035,32.0,2.142,-24.301,1.7701,1.7701,-3.3865
3.6,3,1,4.0,6.4,3.74,1.6764,32.0,0.035,32.0,2.452,-9.6717,2.1094,2.1094,-3.6238
4.3,3,1,4.0,6.4,3.3,1.6764,32.0,0.035,32.0,2.25,-10.347,1.7,1.7,-3.7014
5.0,3,1,4.0,6.4,2.915,1.6764,32.0,0.035,32.0,2.09,-11.306,1.3129,1.3129,-3.8306
3.6,3,1,8.0,2.1333,3.74,1.6764,32.0,0.035,32.0,2.416,-12.451,2.2767,2.2767,-3.3619
4.3,3,1,8.0,2.1333,3.3,1.6764,32.0,0.035,32.0,2.214,-12.907,1.7477,1.7477,-3.5638
5.0,3,1,8.0,2.1333,2.915,1.6764,32.0,0.035,32.0,2.056,-13.848,1.3414,1.3414,-3.7305
3.6,3,1,4.0,2.1333,3.74,1.6764,32.0,0.035,32.0,2.38,-9.5706,1.8221,1.8221,-3.8271
4.3,3,1,4.0,2.1333,3.3,1.6764,32.0,0.035,32.0,2.182,-10.258,1.3737,1.3737,-3.9455
5.0,3,1,4.0,2.1333,2.915,1.6764,32.0,0.035,32.0,2.028,-11.151,1.0269,1.0269,-4.0475
3.6,3,1,8.0,6.4,3.06,1.3716,32.0,0.035,35.2,2.49,-22.885,2.3833,2.3833,-3.6305
4.3,3,1,8.0,6.4,2.7,1.3716,32.0,0.035,35.2,2.2840000000000003,-21.206,1.7625,1.7625,-3.9448
5.0,3,1,8.0,6.4,2.385,1.3716,32.0,0.035,35.2,2.122,-20.045,1.2566,1.2566,-4.1885
3.6,3,1,4.0,6.4,3.06,1.3716,32.0,0.035,35.2,2.442,-13.613,2.2234,2.2234,-3.8167
