copper_height,f_max,f_min,feed_depth,feed_gap_width,feed_width,l3horizontal,l3vertical,patch_length,patch_width,permittivity,realized_gain,resonance,s11,substrate_height
0.035,,,0.26667,0.24,0.07,-2.7871,2.3147,0.8,0.7,4.3,2.3147,101.1,-32.387,0.05
0.035,,,0.13333,0.24,0.07,-3.6963,1.4896,0.8,0.7,4.3,1.4896,95.75,-11.468,0.05
0.035,,,0.044444,0.24,0.07,-3.7964,1.304,0.8,0.7,4.3,1.304,90.95,-13.373,0.05
0.035,,,0.26667,0.08,0.07,-3.3867,1.5957,0.8,0.7,4.3,1.5957,91.4,-18.59,0.05
0.035,,,0.13333,0.08,0.07,-3.8426,1.1996,0.8,0.7,4.3,1.1996,89.9,-14.74,0.05
0.035,,,0.044444,0.08,0.07,-3.9758,1.0763,0.8,0.7,4.3,1.0763,88.85,-15.064,0.05
0.035,,,0.26667,0.026667000000000003,0.07,-3.7931,1.2238,0.8,0.7,4.3,1.2238,89.5,-14.788,0.05
0.035,,,0.13333,0.026667000000000003,0.07,-3.9627,1.0765,0.8,0.7,4.3,1.0765,88.75,-14.4,0.05
0.035,,,0.044444,0.026667000000000003,0.07,-4.0117,1.0366,0.8,0.7,4.3,1.0366,88.4,-14.6,0.05
0.035,,,0.26667,0.24,0.1,-1.8805,3.2325,0.8,0.7,4.3,3.2325,101.0,-16.634,0.07
0.035,,,0.13333,0.24,0.1,-3.0982,2.0277,0.8,0.7,4.3,2.0277,94.6,-9.0327,0.07
0.035,,,0.044444,0.24,0.1,-3.1381,1.9195,0.8,0.7,4.3,1.9195,90.05,-9.9237,0.07
0.035,,,0.26667,0.08,0.1,-2.5116,2.4417,0.8,0.7,4.3,2.4417,90.9,-13.798,0.07
0.035,,,0.13333,0.08,0.1,-3.1075,1.8925,0.8,0.7,4.3,1.8925,88.95,-10.843,0.07
0.035,,,0.044444,0.08,0.1,-3.2467,1.758,0.8,0.7,4.3,1.758,87.85,-10.845,0.07
0.035,,,0.26667,0.026667000000000003,0.1,-2.8174,2.1626,0.8,0.7,4.3,2.1626,89.3,-11.494000000000002,0.07
0.035,,,0.13333,0.026667000000000003,0.1,-3.0904,1.912,0.8,0.7,4.3,1.912,88.35,-10.403,0.07
0.035,,,0.044444,0.026667000000000003,0.1,"-3.1491""",1.86,0.8,0.7,4.3,1.86,87.9,-10.217,0.07
0.035,,,0.26667,0.24,0.14,-1.5444,3.6013,0.8,0.7,4.3,3.6013,102.6,-11.675999999999998,0.09
0.035,,,0.13333,0.24,0.14,-2.954,2.1029,0.8,0.7,4.3,2.1029,93.9,-7.0664,0.09
0.035,,,0.044444,0.24,0.14,-2.9356,2.0525,0.8,0.7,4.3,2.0525,89.3,-7.632999999999999,0.09
0.035,,,0.26667,0.08,0.14,-2.0259,2.8994,0.8,0.7,4.3,2.8994,91.05,-11.084,0.09
0.035,,,0.13333,0.08,0.14,-2.7765,2.1757,0.8,0.7,4.3,2.1757,88.55,-8.2547,0.09
0.035,,,0.044444,0.08,0.14,-2.9145,2.0373,0.8,0.7,4.3,2.0373,87.25,-8.073,0.09
0.035,,,0.26667,0.026667000000000003,0.14,-2.4983,2.443,0.8,0.7,4.3,2.443,89.1,-9.0584,0.09
0.035,,,0.13333,0.026667000000000003,0.14,-2.8222,2.1253,0.8,0.7,4.3,2.1253,87.85,-8.1043,0.09
0.035,,,0.044444,0.026667000000000003,0.14,-2.9033,2.0465,0.8,0.7,4.3,2.0465,87.25,-7.9144,0.09
0.035,,,0.26667,0.24,0.07,-3.5408,1.8378,0.8,0.8,4.3,1.8378,96.75,-13.16,0.05
0.035,,,0.13333,0.24,0.07,-3.4625,2.1276,0.8,0.8,4.3,2.1276,94.25,-15.537,0.05
0.035,,,0.044444,0.24,0.07,-3.7424,1.7881,0.8,0.8,4.3,1.7881,90.2,-16.215,0.05
0.035,,,0.26667,0.08,0.07,-3.4563,1.9236,0.8,0.8,4.3,1.9236,90.45,-28.679,0.05
0.035,,,0.13333,0.08,0.07,-3.826,1.6376,0.8,0.8,4.3,1.6376,89.25,-18.066,0.05
0.035,,,0.044444,0.08,0.07,-3.9726,1.503,0.8,0.8,4.3,1.503,88.35,-17.954,0.05
0.035,,,0.26667,0.026667000000000003,0.07,-3.7505,1.68,0.8,0.8,4.3,1.68,88.9,-18.169,0.05
