speed of light,permittivity,patch_length,patch_width,substrate_height,feed_depth,feed_gap_width,resonance,s11,realized_gain,l3vertical,l3horizontal
299792458000.0,4.3,0.8,0.7,0.05,0.26667,0.24,101100000000.0,-32.387,2.3147,2.3147,-2.7871
299792458000.0,4.3,0.8,0.7,0.05,0.13333,0.24,95750000000.0,-11.468,1.4896,1.4896,-3.6963
299792458000.0,4.3,0.8,0.7,0.05,0.044444,0.24,90950000000.0,-13.373,1.304,1.304,-3.7964
299792458000.0,4.3,0.8,0.7,0.05,0.26667,0.08,91400000000.0,-18.59,1.5957,1.5957,-3.3867
299792458000.0,4.3,0.8,0.7,0.05,0.13333,0.08,89900000000.0,-14.74,1.1996,1.1996,-3.8426
299792458000.0,4.3,0.8,0.7,0.05,0.044444,0.08,88850000000.0,-15.064,1.0763,1.0763,-3.9758
299792458000.0,4.3,0.8,0.7,0.05,0.26667,0.026667000000000003,89500000000.0,-14.788,1.2238,1.2238,-3.7931
299792458000.0,4.3,0.8,0.7,0.05,0.13333,0.026667000000000003,88750000000.0,-14.4,1.0765,1.0765,-3.9627
299792458000.0,4.3,0.8,0.7,0.05,0.044444,0.026667000000000003,88400000000.0,-14.6,1.0366,1.0366,-4.0117
299792458000.0,4.3,0.8,0.7,0.07,0.26667,0.24,101000000000.0,-16.634,3.2325,3.2325,-1.8805
299792458000.0,4.3,0.8,0.7,0.07,0.13333,0.24,94600000000.0,-9.0327,2.0277,2.0277,-3.0982
299792458000.0,4.3,0.8,0.7,0.07,0.044444,0.24,90050000000.0,-9.9237,1.9195,1.9195,-3.1381
299792458000.0,4.3,0.8,0.7,0.07,0.26667,0.08,90900000000.0,-13.798,2.4417,2.4417,-2.5116
299792458000.0,4.3,0.8,0.7,0.07,0.13333,0.08,88950000000.0,-10.843,1.8925,1.8925,-3.1075
299792458000.0,4.3,0.8,0.7,0.07,0.044444,0.08,87850000000.0,-10.845,1.758,1.758,-3.2467
299792458000.0,4.3,0.8,0.7,0.07,0.26667,0.026667000000000003,89300000000.0,-11.494000000000002,2.1626,2.1626,-2.8174
299792458000.0,4.3,0.8,0.7,0.07,0.13333,0.026667000000000003,88350000000.0,-10.403,1.912,1.912,-3.0904
299792458000.0,4.3,0.8,0.7,0.07,0.044444,0.026667000000000003,87900000000.0,-10.217,1.86,1.86,-3.1491
299792458000.0,4.3,0.8,0.7,0.09,0.26667,0.24,102600000000.0,-11.675999999999998,3.6013,3.6013,-1.5444
299792458000.0,4.3,0.8,0.7,0.09,0.13333,0.24,93900000000.0,-7.0664,2.1029,2.1029,-2.954
299792458000.0,4.3,0.8,0.7,0.09,0.044444,0.24,89300000000.0,-7.632999999999999,2.0525,2.0525,-2.9356
299792458000.0,4.3,0.8,0.7,0.09,0.26667,0.08,91050000000.0,-11.084,2.8994,2.8994,-2.0259
299792458000.0,4.3,0.8,0.7,0.09,0.13333,0.08,88550000000.0,-8.2547,2.1757,2.1757,-2.7765
299792458000.0,4.3,0.8,0.7,0.09,0.044444,0.08,87250000000.0,-8.073,2.0373,2.0373,-2.9145
299792458000.0,4.3,0.8,0.7,0.09,0.26667,0.026667000000000003,89100000000.0,-9.0584,2.443,2.443,-2.4983
299792458000.0,4.3,0.8,0.7,0.09,0.13333,0.026667000000000003,87850000000.0,-8.1043,2.1253,2.1253,-2.8222
299792458000.0,4.3,0.8,0.7,0.09,0.044444,0.026667000000000003,87250000000.0,-7.9144,2.0465,2.0465,-2.9033
299792458000.0,4.3,0.8,0.8,0.05,0.26667,0.24,96750000000.0,-13.16,1.8378,1.8378,-3.5408
299792458000.0,4.3,0.8,0.8,0.05,0.13333,0.24,94250000000.0,-15.537,2.1276,2.1276,-3.4625
299792458000.0,4.3,0.8,0.8,0.05,0.044444,0.24,90200000000.0,-16.215,1.7881,1.7881,-3.7424
299792458000.0,4.3,0.8,0.8,0.05,0.26667,0.08,90450000000.0,-28.679,1.9236,1.9236,-3.4563
299792458000.0,4.3,0.8,0.8,0.05,0.13333,0.08,89250000000.0,-18.066,1.6376,1.6376,-3.826
299792458000.0,4.3,0.8,0.8,0.05,0.044444,0.08,88350000000.0,-17.954,1.503,1.503,-3.9726
299792458000.0,4.3,0.8,0.8,0.05,0.26667,0.026667000000000003,88900000000.0,-18.169,1.68,1.68,-3.7505
299792458000.0,4.3,0.8,0.8,0.05,0.13333,0.026667000000000003,88250000000.0,-17.125999999999998,1.5171,1.5171,-3.9432
299792458000.0,4.3,0.8,0.8,0.05,0.044444,0.026667000000000003,87950000000.0,-17.223,1.5034,1.5034,-3.9672
299792458000.0,4.3,0.8,0.8,0.07,0.26667,0.24,96250000000.0,-19.886,3.275,3.275,-2.0992
299792458000.0,4.3,0.8,0.8,0.07,0.13333,0.24,93100000000.0,-11.775,2.7785,2.7785,-2.7592
299792458000.0,4.3,0.8,0.8,0.07,0.044444,0.24,89250000000.0,-11.727,2.4676,2.4676,-3.0101
299792458000.0,4.3,0.8,0.8,0.07,0.26667,0.08,89800000000.0,-18.518,2.8897,2.8897,-2.4576
299792458000.0,4.3,0.8,0.8,0.07,0.13333,0.08,88250000000.0,-12.849,2.398,2.398,-3.0201
299792458000.0,4.3,0.8,0.8,0.07,0.044444,0.08,87300000000.0,-12.515999999999998,2.2409,2.2409,-3.1872
299792458000.0,4.3,0.8,0.8,0.07,0.26667,0.026667000000000003,88500000000.0,-13.908,2.67,2.67,-2.7223
299792458000.0,4.3,0.8,0.8,0.07,0.13333,0.026667000000000003,87700000000.0,-12.15,2.4234,2.4234,-2.9984
299792458000.0,4.3,0.8,0.8,0.07,0.044444,0.026667000000000003,87300000000.0,-11.797,2.3488,2.3488,-3.0814
299792458000.0,4.3,0.8,0.8,0.09,0.26667,0.24,96450000000.0,-38.305,3.947,3.947,-1.4081
299792458000.0,4.3,0.8,0.8,0.09,0.13333,0.24,92350000000.0,-9.067,2.9435,2.9435,-2.5329
299792458000.0,4.3,0.8,0.8,0.09,0.044444,0.24,88450000000.0,-8.9463,2.6701,2.6701,-2.753
299792458000.0,4.3,0.8,0.8,0.09,0.26667,0.08,89700000000.0,-14.578,3.4493,3.4493,-1.8604
299792458000.0,4.3,0.8,0.8,0.09,0.13333,0.08,87800000000.0,-9.7419,2.7768,2.7768,-2.5995
299792458000.0,4.3,0.8,0.8,0.09,0.044444,0.08,86650000000.0,-9.2736,2.5849,2.5849,-2.7968
299792458000.0,4.3,0.8,0.8,0.09,0.26667,0.026667000000000003,88200000000.0,-10.880999999999998,3.0334,3.0334,-2.3144
299792458000.0,4.3,0.8,0.8,0.09,0.13333,0.026667000000000003,87100000000.0,-9.4026,2.6997,2.6997,-2.6729
299792458000.0,4.3,0.8,0.8,0.09,0.044444,0.026667000000000003,86600000000.0,-9.0819,2.5956,2.5956,-2.7845
299792458000.0,4.3,0.8,0.9,0.05,0.26667,0.24,93850000000.0,-8.0038,0.72935,0.72935,-4.8882
299792458000.0,4.3,0.8,0.9,0.05,0.13333,0.24,93050000000.0,-22.846,2.6387,2.6387,-3.2829
299792458000.0,4.3,0.8,0.9,0.05,0.044444,0.24,89550000000.0,-20.187,2.2119,2.2119,-3.683
299792458000.0,4.3,0.8,0.9,0.05,0.26667,0.08,89700000000.0,-29.131,2.1772,2.1772,-3.5601
299792458000.0,4.3,0.8,0.9,0.05,0.13333,0.08,88700000000.0,-23.041,2.0278,2.0278,-3.8036
299792458000.0,4.3,0.8,0.9,0.05,0.044444,0.08,87900000000.0,-21.991,1.9263,1.9263,-3.9228
299792458000.0,4.3,0.8,0.9,0.05,0.26667,0.026667000000000003,88400000000.0,-23.192,2.0282,2.0282,-3.7739
299792458000.0,4.3,0.8,0.9,0.05,0.13333,0.026667000000000003,87800000000.0,-20.796,1.9178,1.9178,-3.9162
299792458000.0,4.3,0.8,0.9,0.05,0.044444,0.026667000000000003,87550000000.0,-20.716,1.8676,1.8676,-3.9779
299792458000.0,4.3,0.8,0.9,0.07,0.26667,0.24,93200000000.0,-10.279000000000002,2.7611,2.7611,-2.8522
299792458000.0,4.3,0.8,0.9,0.07,0.13333,0.24,91850000000.0,-15.720999999999998,3.3679,3.3679,-2.4986
299792458000.0,4.3,0.8,0.9,0.07,0.044444,0.24,88500000000.0,-13.938,2.9603,2.9603,-2.8813
299792458000.0,4.3,0.8,0.9,0.07,0.26667,0.08,88900000000.0,-27.931,3.2482,3.2482,-2.4591
299792458000.0,4.3,0.8,0.9,0.07,0.13333,0.08,87650000000.0,-15.347,2.8558,2.8558,-2.9305
299792458000.0,4.3,0.8,0.9,0.07,0.044444,0.08,86800000000.0,-14.505999999999998,2.6978,2.6978,-3.1054
299792458000.0,4.3,0.8,0.9,0.07,0.26667,0.026667000000000003,87850000000.0,-17.085,3.1467,3.1467,-2.6126
299792458000.0,4.3,0.8,0.9,0.07,0.13333,0.026667000000000003,87150000000.0,-14.209,2.9088,2.9088,-2.8845
299792458000.0,4.3,0.8,0.9,0.07,0.044444,0.026667000000000003,86850000000.0,-13.605,2.8315,2.8315,-2.9757
299792458000.0,4.3,0.8,0.9,0.09,0.26667,0.24,92900000000.0,-13.55,3.7894,3.7894,-1.783
299792458000.0,4.3,0.8,0.9,0.09,0.13333,0.24,91050000000.0,-11.704,3.6419,3.6419,-2.164
299792458000.0,4.3,0.8,0.9,0.09,0.044444,0.24,87700000000.0,-10.488,3.2289,3.2289,-2.5603
299792458000.0,4.3,0.8,0.9,0.09,0.26667,0.08,88550000000.0,-20.086,3.8768,3.8768,-1.776
299792458000.0,4.3,0.8,0.9,0.09,0.13333,0.08,87100000000.0,-11.511,3.3094,3.3094,-2.437
299792458000.0,4.3,0.8,0.9,0.09,0.044444,0.08,86100000000.0,-10.647,3.0988,3.0988,-2.6639
299792458000.0,4.3,0.8,0.9,0.09,0.26667,0.026667000000000003,87400000000.0,-13.140999999999998,3.5498,3.5498,-2.1616
299792458000.0,4.3,0.8,0.9,0.09,0.13333,0.026667000000000003,86500000000.0,-10.892,3.2147,3.2147,-2.5333
299792458000.0,4.3,0.8,0.9,0.09,0.044444,0.026667000000000003,86050000000.0,-10.382,3.1196,3.1196,-2.6393
299792458000.0,4.3,0.8,1.0,0.05,0.26667,0.24,91750000000.0,-5.6995,-1.1188,-1.1188,-6.9602
299792458000.0,4.3,0.8,1.0,0.05,0.13333,0.24,91950000000.0,-34.554,2.971,2.971,-3.2862
299792458000.0,4.3,0.8,1.0,0.05,0.044444,0.24,89000000000.0,-27.163,2.6402,2.6402,-3.5993
299792458000.0,4.3,0.8,1.0,0.05,0.26667,0.08,89050000000.0,-20.068,2.3857,2.3857,-3.6805
299792458000.0,4.3,0.8,1.0,0.05,0.13333,0.08,88250000000.0,-34.124,2.3806,2.3806,-3.7904
299792458000.0,4.3,0.8,1.0,0.05,0.044444,0.08,87500000000.0,-29.01,2.2508,2.2508,-3.9391
299792458000.0,4.3,0.8,1.0,0.05,0.26667,0.026667000000000003,87950000000.0,-34.327,2.399,2.399,-3.7415
299792458000.0,4.3,0.8,1.0,0.05,0.13333,0.026667000000000003,87450000000.0,-26.575,2.2715,2.2715,-3.9032
299792458000.0,4.3,0.8,1.0,0.05,0.044444,0.026667000000000003,87200000000.0,-26.01,2.2532,2.2532,-3.9344
299792458000.0,4.3,0.8,1.0,0.07,0.26667,0.24,90900000000.0,-6.6472,1.7191,1.7191,-4.1462
